"","Gene","X1_CD19_314_T_resent","X2_Y_Y_319_T_resent","X3_Y_Y_304_T_resent","X4_Y_Y_729_T_resent","X5_Y_Y_727_T_resent","X6_CD19_738_T_resent","X7_CD19_271_T_resent","X8_Y_H_305_T_resent","X9_CD19_324_T_resent","X10_hYP7_731_T_resent","X11_Y_H_314_T_resent","X12_hYP7_740_T_resent","X13_Y_H_737_T_resent","X14_hYP7_732_T_resent","X15_Y_H_730_T_resent","X16_hYP7_303_T_resent"
"1","ALB",1.59625600704312,-0.463399920779054,-0.463326220028046,-0.462141111951836,-0.463317375937925,0.853832965778186,0.0724310713200943,-0.463396972749014,3.02535189348043,-0.458061038376029,-0.463205350796393,-0.462046774990546,-0.463405816839135,-0.461253754909699,-0.463391076688933,-0.460926523575223
"2","NEAT1",-0.487182688079881,0.585917392632158,2.40258884698121,1.99756403434245,0.825390241237474,-1.03676633265507,-1.20923094872544,-0.410162069572846,0.042686975816411,-0.682438118355286,-0.523739919592724,-0.234077553133877,-0.150579390361289,-0.416425331439716,-0.229664317167094,-0.473880821926476
"3","KLF6",-0.426421366656042,0.888605784849628,2.16501761690372,1.87832812400561,0.763164504691764,-0.927484390570198,-1.18819630492815,-0.337723148036955,0.878542398568307,-0.534076196642269,-0.775363435154877,-0.446080074740484,-0.457781686695508,-0.538522809185178,-0.322511052495423,-0.619497963913949
"4","PPP1R15A",-0.629146745887585,1.60323056536804,2.02193716671236,1.79641706345747,1.01225921045312,-0.889989274953481,-1.11252055756282,-0.44547013167035,-0.285160660681935,-0.473999783286933,-0.422646410377085,-0.32156993036405,-0.540297259424515,-0.509865631033493,-0.441122756185919,-0.362054864562819
"5","ATP5F1A",-1.36962583354598,-0.183084430775577,-0.367141716268615,0.683404837576663,-0.0301584962413018,-1.6839432454191,-2.00481462591513,0.62605761212631,-1.01407303575379,0.993626019060478,0.944471254388747,0.744848293416327,0.736109668585797,0.625784530100356,0.680400935291169,0.618138233373642
"6","HNRNPD",-1.35082773504959,-0.471410604740242,-0.406949183248247,0.406548122367924,-0.175646435541677,-1.60283980821286,-1.8851866679606,0.733522120071663,-0.983310128353143,1.16433442569916,0.873528827384593,0.574264490503205,0.884904372353769,0.64980977632414,0.947324029364117,0.641934399037788
"7","MCM5",-1.19617229689944,-0.690306239814355,-0.951591573972321,0.332142040051075,-0.156073861771228,-1.41585369365228,-1.65948887254746,0.422283904428854,-1.03227799803075,1.20929172034253,1.02112845798752,0.947376023496612,0.479646909032895,0.840529547887986,0.905456904747505,0.943909028712851
"8","MCM7",-1.17523554180317,-0.636107658766844,-0.923248286295026,0.272951970947663,-0.284902474753542,-1.40258258327857,-1.73341852369148,0.330774339877824,-0.904850259817248,1.1435728667711,1.25626077894749,1.02464276703975,0.552864802359575,0.728631662459778,0.850847124062162,0.899799015940537
"9","SLC25A5",-1.30508269408042,-0.387573153089662,-0.562119703815874,0.54900798251726,-0.165762215705995,-1.67158899061717,-2.07209247755665,0.690801142489623,-0.568753301943236,1.0154328508474,1.17339540625521,0.774964918730529,0.583005172919991,0.630269559577445,0.685411344011142,0.630684159460405
"10","SLC3A2",-1.13219951299657,0.993473791993529,1.55607653101047,1.83583792951798,0.838963368230665,-1.42017409017586,-1.90526495547787,-0.17947078707007,-0.716407342737696,-0.0100739769646053,0.117743616114973,0.109530437443193,0.00840567504689997,-0.116331976030761,-0.0316335709780282,0.0515248630737456
