"","Gene","X1_CD19_314_T_resent","X2_Y_Y_319_T_resent","X3_Y_Y_304_T_resent","X4_Y_Y_729_T_resent","X5_Y_Y_727_T_resent","X6_CD19_738_T_resent","X7_CD19_271_T_resent","X8_Y_H_305_T_resent","X9_CD19_324_T_resent","X10_hYP7_731_T_resent","X11_Y_H_314_T_resent","X12_hYP7_740_T_resent","X13_Y_H_737_T_resent","X14_hYP7_732_T_resent","X15_Y_H_730_T_resent","X16_hYP7_303_T_resent"
"1","ALB",1.59625600704312,-0.463399920779054,-0.463326220028046,-0.462141111951836,-0.463317375937925,0.853832965778186,0.0724310713200943,-0.463396972749014,3.02535189348043,-0.458061038376029,-0.463205350796393,-0.462046774990546,-0.463405816839135,-0.461253754909699,-0.463391076688933,-0.460926523575223
"2","CCL5",-1.63170417116099,0.883861914129883,0.777086528367855,0.929967828508557,0.41245687712447,-1.64082441849313,-1.62773884623397,0.809854531628383,-1.64241054846394,0.307592057009095,0.664471300440585,0.322732388548613,0.545980181939645,0.181927305231098,0.330338602726799,0.376408468697046
"3","CD8A",-1.612301086682,0.646473001134003,0.734743275724238,1.13402657133596,0.564154042020516,-1.62597548331177,-1.59444714025175,0.839913469072871,-1.62711123054016,0.223884172395781,0.371349592529544,0.193582436342416,0.802660959981779,0.141110914390939,0.608130174703659,0.199806331153977
"4","SCD",1.39208974000185,-0.440587070900683,-0.437406223894812,-0.417684972458413,-0.437151756134342,0.525054463141583,0.0553705942546964,-0.438487711876808,3.24283376189773,-0.425191771392268,-0.447457700433364,-0.426591344074851,-0.440014518439626,-0.433843675248237,-0.437851542475634,-0.433080271966828
"5","FASN",1.34114847917069,-0.440678172207197,-0.40887980672332,-0.350664337606683,-0.446059434058315,0.541297285845466,-0.0259715770833977,-0.417196302311411,3.27162375337101,-0.428028712531193,-0.484147586121421,-0.435017364285891,-0.42138949336423,-0.42299688326781,-0.402520133626544,-0.470519715199759
"6","GZMB",-1.61026657181135,0.438184402049821,0.295025430485179,0.859726976540326,0.375215960780533,-1.61853819456319,-1.60456842203463,0.497174620618031,-1.61868080874857,0.66910671715331,1.31514113312868,0.406938347104756,0.260673238582613,0.307661760380464,0.236671271183748,0.790534139150281
"7","GZMA",-1.64517908551578,0.355878621605776,0.365757135874929,0.906441150206606,0.349622229235312,-1.65999685691951,-1.63999286552448,0.636346105897497,-1.66337201596147,0.797859814198159,0.85153307506056,0.521096772757371,0.482899850916643,0.435400661472463,0.397944628201922,0.507760778494013
"8","CLU",1.94495815647636,-0.48914979527455,-0.48746733387903,-0.486180745753044,-0.496869324030466,1.02793554189765,0.0181617996334491,-0.488951858639783,2.72633083651649,-0.455698503998915,-0.464902557515584,-0.448671753464684,-0.489743605178851,-0.468861290210925,-0.488358048735482,-0.452531517842642
"9","DHCR24",1.5212286131874,-0.478388253880676,-0.485193302607519,-0.4553044611406,-0.469314855578219,0.802428662373591,0.0402632049671554,-0.464244427115081,3.09132681649649,-0.424881890361772,-0.454904164156668,-0.438225123159504,-0.463310400819239,-0.438625420143436,-0.456105055108464,-0.426749942953454
"10","GLUD1",1.4142592169055,-0.512739039646367,-0.460527259701115,-0.297201867522479,-0.419446179752546,0.528246772910851,-0.176728579798743,-0.413619829016202,3.24908858888652,-0.342970782453322,-0.495670027593974,-0.419405466545504,-0.412239942106098,-0.422844278497451,-0.409235889043636,-0.408965437025427
